"client_id","sex","Montant","Fréquence","Récence","Prix_Categ0","Prix_Categ1","Prix_Categ2","Age","TrancheAge"
"c_1","m",294.66,14,6,168.20999999999998,71.58,54.87,66,"(54,92]"
"c_10","m",586.1800000000001,16,17,124.92,391.2700000000001,69.99,65,"(54,92]"
"c_100","m",222.87,3,143,31.38,52.96,138.53,29,"[17,31]"
"c_1000","f",701.8500000000003,33,15,153.45,548.4000000000001,0,55,"(54,92]"
"c_1001","m",999.5700000000002,20,4,439.91999999999996,259.65000000000003,300,39,"(37,41]"
"c_1002","f",255.69000000000003,9,31,176.8,78.89,0,39,"(37,41]"
"c_1003","m",459.42000000000013,17,55,336.5000000000001,122.91999999999997,0,39,"(37,41]"
"c_1004","m",381.75000000000006,15,35,265.36,116.39,0,48,"(46,54]"
"c_1005","f",370.19000000000005,12,1,132.57,237.62000000000003,0,80,"(54,92]"
"c_1006","m",1609.3400000000001,50,2,1083.4000000000003,525.94,0,42,"(41,46]"
"c_1007","f",299.34000000000003,11,12,87.41999999999999,211.92000000000002,0,80,"(54,92]"
"c_1008","m",45.97,2,139,21.979999999999997,23.99,0,55,"(54,92]"
"c_1009","f",298.64000000000004,5,7,22.9,86.97,188.77,27,"[17,31]"
"c_101","m",173.23999999999998,2,20,51.03,28.839999999999996,93.37,20,"[17,31]"
"c_1010","m",683.7600000000001,8,12,0,42.71,641.0500000000001,27,"[17,31]"
"c_1011","f",637.9300000000001,7,39,82.26999999999998,110.27,445.39,22,"[17,31]"
"c_1012","f",150.64000000000001,9,19,32.800000000000004,117.83999999999999,0,64,"(54,92]"
"c_1013","m",1036.1000000000004,31,0,578.6700000000001,414.92,42.51,39,"(37,41]"
"c_1014","m",1299.4500000000005,41,0,830.5100000000003,354.95000000000005,113.99,32,"(31,37]"
"c_1015","m",826.9100000000002,35,1,145.32,681.5900000000003,0,68,"(54,92]"
"c_1016","m",1069.6200000000003,38,0,680.2200000000003,389.40000000000003,0,41,"(37,41]"
"c_1017","f",763.13,26,15,460.31,302.82000000000005,0,46,"(41,46]"
"c_1018","f",762.53,6,59,11.78,103.06,647.69,28,"[17,31]"
"c_1019","f",214.66000000000003,6,92,79.77999999999999,83.88999999999999,50.99,73,"(54,92]"
"c_102","m",113.03,3,98,74.28999999999999,38.739999999999995,0,39,"(37,41]"
"c_1020","m",212.82999999999998,6,5,119.24999999999999,93.58000000000001,0,46,"(41,46]"
"c_1021","f",299.66,5,91,0,45.58,254.07999999999998,22,"[17,31]"
"c_1022","m",527.7500000000001,7,41,21.979999999999997,83.8,421.96999999999997,25,"[17,31]"
"c_1023","m",715.46,10,14,43.64,115.11999999999998,556.7,22,"[17,31]"
"c_1024","f",111.38999999999999,5,0,16.98,94.41,0,51,"(46,54]"
"c_1025","m",1417.1199999999997,54,1,872.5600000000002,544.5600000000001,0,37,"(31,37]"
"c_1026","m",966.99,11,7,61.29,155.43,750.2699999999999,23,"[17,31]"
"c_1027","f",601.0300000000001,21,4,351.7300000000001,249.30000000000007,0,42,"(41,46]"
"c_1028","m",1414.8600000000004,50,3,1050.8400000000004,364.02,0,35,"(31,37]"
"c_1029","m",81.72,4,38,17.99,63.73,0,65,"(54,92]"
"c_103","f",1154.6400000000006,41,1,802.7900000000006,351.8500000000001,0,35,"(31,37]"
"c_1030","m",179.46000000000004,11,19,70.59,108.86999999999999,0,73,"(54,92]"
"c_1031","f",1051.4100000000003,47,0,245.89000000000004,805.5200000000002,0,58,"(54,92]"
"c_1032","m",306.1,14,15,84.72999999999999,221.37,0,58,"(54,92]"
"c_1033","f",145.45,1,192,0,0,145.45,21,"[17,31]"
"c_1034","f",29.21,2,98,0,29.21,0,57,"(54,92]"
"c_1035","f",110.50999999999999,2,104,66.53,43.98,0,40,"(37,41]"
"c_1036","f",204.98000000000002,6,32,76.47,128.51,0,45,"(41,46]"
"c_1037","m",640.0500000000001,25,6,158.55,415.75,65.75,60,"(54,92]"
"c_1038","m",458.62000000000006,9,47,80.97,70.24,307.41,19,"[17,31]"
"c_1039","f",552.6200000000001,20,50,135.93,315.18,101.51,58,"(54,92]"
"c_104","m",89.23,2,183,0,38.239999999999995,50.99,26,"[17,31]"
"c_1040","m",206.80000000000004,8,65,174.06,32.74,0,43,"(41,46]"
"c_1041","f",244.98000000000005,6,11,94.6,150.38,0,44,"(41,46]"
"c_1042","f",59.74,2,99,0,10.75,48.99,17,"[17,31]"
"c_1043","f",499.08000000000015,18,5,325.5100000000001,173.56999999999996,0,44,"(41,46]"
"c_1044","m",179.97,8,42,54.440000000000005,125.52999999999999,0,65,"(54,92]"
"c_1045","f",297.27000000000004,7,21,157.73000000000002,139.54,0,49,"(46,54]"
"c_1046","m",454.94000000000005,6,49,51.8,158.54999999999998,244.59000000000003,17,"[17,31]"
"c_1047","m",326.05000000000007,12,61,255.43999999999997,70.61,0,48,"(46,54]"
"c_1048","m",304.93,5,48,0,71,233.93,23,"[17,31]"
"c_1049","m",331.57000000000005,10,53,62.300000000000004,207.02,62.25,55,"(54,92]"
"c_105","f",174.53999999999996,7,33,124.42999999999999,50.10999999999999,0,45,"(41,46]"
"c_1050","f",1145.3700000000001,45,1,671.8000000000004,473.57,0,36,"(31,37]"
"c_1051","f",476.1200000000001,23,1,92.61999999999999,383.5000000000001,0,53,"(46,54]"
"c_1052","m",813.78,7,56,58.7,151.53,603.55,20,"[17,31]"
"c_1053","m",812.4500000000002,9,33,28.5,200.10999999999999,583.8399999999999,22,"[17,31]"
"c_1054","f",520.1800000000002,22,1,131.54,388.6400000000001,0,56,"(54,92]"
"c_1055","f",597.4700000000003,30,5,167.26999999999998,430.20000000000005,0,56,"(54,92]"
"c_1056","f",257.25,3,0,0,37.4,219.85,26,"[17,31]"
"c_1057","f",714.44,13,30,277.2800000000001,437.1600000000001,0,44,"(41,46]"
"c_1058","f",553.37,22,2,132.38,420.99000000000007,0,52,"(46,54]"
"c_1059","f",52.74,2,100,21.96,30.779999999999998,0,25,"[17,31]"
"c_106","f",81.76999999999998,6,0,24.8,56.97,0,54,"(46,54]"
"c_1060","f",1115.8900000000003,41,3,747.6900000000003,368.20000000000005,0,48,"(46,54]"
"c_1061","m",498.7000000000001,11,9,191.20000000000005,276.51,30.99,30,"[17,31]"
"c_1062","m",213.68999999999997,7,3,152.07999999999998,61.61,0,35,"(31,37]"
"c_1063","m",1085.3700000000003,46,2,196.93,819.4500000000003,68.99,82,"(54,92]"
"c_1064","m",736.26,10,40,26,164.92999999999998,545.33,23,"[17,31]"
"c_1065","m",670.44,11,14,13.77,77.47,579.2,17,"[17,31]"
"c_1066","m",246.01000000000005,5,100,111.24999999999999,78.97,55.79,20,"[17,31]"
"c_1067","f",684.1300000000001,22,42,384.93,299.20000000000005,0,34,"(31,37]"
"c_1068","m",298.90999999999997,9,22,252.85000000000005,46.06,0,39,"(37,41]"
"c_1069","f",265.44,3,78,0,27.46,237.98000000000002,23,"[17,31]"
"c_107","f",937.4800000000002,31,7,647.8800000000002,289.6,0,37,"(31,37]"
