client_id,sex,Montant,Fréquence,Récence,Prix_Categ0,Prix_Categ1,Prix_Categ2,Age
c_1,m,294.66,14,6,168.21,71.58,54.87,66
c_10,m,586.18,16,17,124.92,391.27,69.99,65
c_100,m,222.87,3,143,31.38,52.96,138.53,29
c_1000,f,701.85,33,15,153.45,548.4,0.0,55
c_1001,m,999.57,20,4,439.92,259.65,300.0,39
c_1002,f,255.69,9,31,176.8,78.89,0.0,39
c_1003,m,459.42,17,55,336.5,122.92,0.0,39
c_1004,m,381.75,15,35,265.36,116.39,0.0,48
c_1005,f,370.19,12,1,132.57,237.62,0.0,80
c_1006,m,1609.34,50,2,1083.4,525.94,0.0,42
c_1007,f,299.34,11,12,87.42,211.92,0.0,80
c_1008,m,45.97,2,139,21.98,23.99,0.0,55
c_1009,f,298.64,5,7,22.9,86.97,188.77,27
c_101,m,173.24,2,20,51.03,28.84,93.37,20
c_1010,m,683.76,8,12,0.0,42.71,641.05,27
c_1011,f,637.93,7,39,82.27,110.27,445.39,22
c_1012,f,150.64,9,19,32.8,117.84,0.0,64
c_1013,m,1036.1,31,0,578.67,414.92,42.51,39
c_1014,m,1299.45,41,0,830.51,354.95,113.99,32
c_1015,m,826.91,35,1,145.32,681.59,0.0,68
c_1016,m,1069.62,38,0,680.22,389.4,0.0,41
c_1017,f,763.13,26,15,460.31,302.82,0.0,46
c_1018,f,762.53,6,59,11.78,103.06,647.69,28
c_1019,f,214.66,6,92,79.78,83.89,50.99,73
c_102,m,113.03,3,98,74.29,38.74,0.0,39
c_1020,m,212.83,6,5,119.25,93.58,0.0,46
c_1021,f,299.66,5,91,0.0,45.58,254.08,22
c_1022,m,527.75,7,41,21.98,83.8,421.97,25
c_1023,m,715.46,10,14,43.64,115.12,556.7,22
c_1024,f,111.39,5,0,16.98,94.41,0.0,51
c_1025,m,1417.12,54,1,872.56,544.56,0.0,37
c_1026,m,966.99,11,7,61.29,155.43,750.27,23
c_1027,f,601.03,21,4,351.73,249.3,0.0,42
c_1028,m,1414.86,50,3,1050.84,364.02,0.0,35
c_1029,m,81.72,4,38,17.99,63.73,0.0,65
c_103,f,1154.64,41,1,802.79,351.85,0.0,35
c_1030,m,179.46,11,19,70.59,108.87,0.0,73
c_1031,f,1051.41,47,0,245.89,805.52,0.0,58
c_1032,m,306.1,14,15,84.73,221.37,0.0,58
c_1033,f,145.45,1,192,0.0,0.0,145.45,21
c_1034,f,29.21,2,98,0.0,29.21,0.0,57
c_1035,f,110.51,2,104,66.53,43.98,0.0,40
c_1036,f,204.98,6,32,76.47,128.51,0.0,45
c_1037,m,640.05,25,6,158.55,415.75,65.75,60
c_1038,m,458.62,9,47,80.97,70.24,307.41,19
c_1039,f,552.62,20,50,135.93,315.18,101.51,58
c_104,m,89.23,2,183,0.0,38.24,50.99,26
c_1040,m,206.8,8,65,174.06,32.74,0.0,43
c_1041,f,244.98,6,11,94.6,150.38,0.0,44
c_1042,f,59.74,2,99,0.0,10.75,48.99,17
c_1043,f,499.08,18,5,325.51,173.57,0.0,44
c_1044,m,179.97,8,42,54.44,125.53,0.0,65
c_1045,f,297.27,7,21,157.73,139.54,0.0,49
c_1046,m,454.94,6,49,51.8,158.55,244.59,17
c_1047,m,326.05,12,61,255.44,70.61,0.0,48
c_1048,m,304.93,5,48,0.0,71.0,233.93,23
c_1049,m,331.57,10,53,62.3,207.02,62.25,55
c_105,f,174.54,7,33,124.43,50.11,0.0,45
c_1050,f,1145.37,45,1,671.8,473.57,0.0,36
c_1051,f,476.12,23,1,92.62,383.5,0.0,53
c_1052,m,813.78,7,56,58.7,151.53,603.55,20
c_1053,m,812.45,9,33,28.5,200.11,583.84,22
c_1054,f,520.18,22,1,131.54,388.64,0.0,56
c_1055,f,597.47,30,5,167.27,430.2,0.0,56
c_1056,f,257.25,3,0,0.0,37.4,219.85,26
c_1057,f,714.44,13,30,277.28,437.16,0.0,44
c_1058,f,553.37,22,2,132.38,420.99,0.0,52
c_1059,f,52.74,2,100,21.96,30.78,0.0,25
c_106,f,81.77,6,0,24.8,56.97,0.0,54
